  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
 -10.000  -1.0416   0.01951   0.01300  -0.0113   1.0000   0.0333
  -9.750  -1.0223   0.01882   0.01223  -0.0100   1.0000   0.0344
  -9.500  -1.0053   0.01794   0.01135  -0.0085   1.0000   0.0360
  -9.250  -0.9846   0.01743   0.01081  -0.0074   1.0000   0.0377
  -9.000  -0.9632   0.01700   0.01032  -0.0064   1.0000   0.0395
  -8.750  -0.9450   0.01628   0.00958  -0.0048   1.0000   0.0416
  -8.500  -0.9250   0.01577   0.00908  -0.0035   1.0000   0.0439
  -8.250  -0.9040   0.01537   0.00864  -0.0023   1.0000   0.0463
  -8.000  -0.8851   0.01479   0.00804  -0.0007   1.0000   0.0492
  -7.750  -0.8647   0.01437   0.00763   0.0006   1.0000   0.0526
  -7.500  -0.8439   0.01400   0.00722   0.0019   1.0000   0.0561
  -7.250  -0.8245   0.01350   0.00677   0.0034   1.0000   0.0609
  -7.000  -0.8036   0.01316   0.00640   0.0047   1.0000   0.0657
  -6.750  -0.7836   0.01275   0.00603   0.0061   1.0000   0.0723
  -6.500  -0.7633   0.01237   0.00568   0.0075   1.0000   0.0799
  -6.250  -0.7424   0.01204   0.00537   0.0087   1.0000   0.0888
  -6.000  -0.7216   0.01171   0.00509   0.0100   1.0000   0.1000
  -5.750  -0.7007   0.01136   0.00482   0.0112   1.0000   0.1141
  -5.500  -0.6797   0.01102   0.00458   0.0124   1.0000   0.1312
  -5.250  -0.6582   0.01072   0.00437   0.0134   1.0000   0.1513
  -5.000  -0.6274   0.01036   0.00414   0.0125   0.9985   0.1775
  -4.750  -0.5903   0.01000   0.00393   0.0102   0.9957   0.2096
  -4.500  -0.5529   0.00966   0.00374   0.0080   0.9931   0.2444
  -4.250  -0.5172   0.00932   0.00354   0.0061   0.9892   0.2791
  -4.000  -0.4798   0.00900   0.00338   0.0039   0.9858   0.3152
  -3.750  -0.4410   0.00869   0.00322   0.0014   0.9832   0.3524
  -3.500  -0.4066   0.00840   0.00307  -0.0001   0.9779   0.3872
  -3.250  -0.3690   0.00813   0.00293  -0.0022   0.9740   0.4226
  -3.000  -0.3306   0.00786   0.00279  -0.0044   0.9707   0.4575
  -2.750  -0.2994   0.00761   0.00267  -0.0050   0.9628   0.4893
  -2.500  -0.2655   0.00737   0.00254  -0.0062   0.9565   0.5214
  -2.250  -0.2374   0.00715   0.00243  -0.0060   0.9458   0.5510
  -2.000  -0.2089   0.00696   0.00233  -0.0059   0.9351   0.5802
  -1.750  -0.1812   0.00678   0.00223  -0.0055   0.9233   0.6091
  -1.500  -0.1552   0.00662   0.00215  -0.0048   0.9088   0.6370
  -1.250  -0.1293   0.00648   0.00209  -0.0040   0.8929   0.6642
  -1.000  -0.1034   0.00638   0.00203  -0.0032   0.8757   0.6915
  -0.750  -0.0777   0.00628   0.00198  -0.0024   0.8571   0.7177
  -0.500  -0.0517   0.00622   0.00195  -0.0016   0.8366   0.7435
  -0.250  -0.0259   0.00618   0.00193  -0.0008   0.8148   0.7683
   0.000   0.0000   0.00618   0.00192   0.0000   0.7923   0.7923
   0.250   0.0259   0.00618   0.00193   0.0008   0.7683   0.8148
   0.500   0.0517   0.00622   0.00195   0.0016   0.7435   0.8367
   0.750   0.0777   0.00628   0.00198   0.0024   0.7178   0.8571
   1.000   0.1034   0.00638   0.00203   0.0032   0.6915   0.8757
   1.250   0.1293   0.00648   0.00209   0.0040   0.6642   0.8929
   1.500   0.1552   0.00662   0.00215   0.0048   0.6371   0.9088
   1.750   0.1812   0.00678   0.00223   0.0055   0.6091   0.9233
   2.000   0.2089   0.00696   0.00233   0.0059   0.5801   0.9351
   2.250   0.2374   0.00716   0.00243   0.0060   0.5509   0.9458
   2.500   0.2655   0.00737   0.00254   0.0062   0.5215   0.9566
   2.750   0.2995   0.00761   0.00267   0.0050   0.4893   0.9628
   3.000   0.3307   0.00786   0.00279   0.0044   0.4576   0.9707
   3.250   0.3690   0.00813   0.00293   0.0022   0.4225   0.9740
   3.500   0.4066   0.00840   0.00307   0.0001   0.3871   0.9779
   3.750   0.4410   0.00869   0.00322  -0.0014   0.3524   0.9832
   4.000   0.4798   0.00900   0.00338  -0.0039   0.3152   0.9858
   4.250   0.5172   0.00932   0.00354  -0.0061   0.2791   0.9892
   4.500   0.5530   0.00966   0.00374  -0.0080   0.2443   0.9931
   4.750   0.5904   0.01000   0.00392  -0.0103   0.2096   0.9957
   5.000   0.6275   0.01036   0.00414  -0.0125   0.1775   0.9985
   5.250   0.6581   0.01072   0.00436  -0.0134   0.1513   1.0000
   5.500   0.6796   0.01102   0.00457  -0.0123   0.1312   1.0000
   5.750   0.7007   0.01136   0.00482  -0.0112   0.1141   1.0000
   6.000   0.7215   0.01170   0.00509  -0.0100   0.1001   1.0000
   6.250   0.7424   0.01204   0.00537  -0.0087   0.0889   1.0000
   6.500   0.7632   0.01236   0.00568  -0.0074   0.0799   1.0000
   6.750   0.7835   0.01275   0.00603  -0.0061   0.0724   1.0000
   7.000   0.8036   0.01316   0.00640  -0.0047   0.0657   1.0000
   7.250   0.8244   0.01350   0.00676  -0.0034   0.0608   1.0000
   7.500   0.8439   0.01399   0.00721  -0.0019   0.0561   1.0000
   7.750   0.8646   0.01437   0.00763  -0.0006   0.0526   1.0000
   8.000   0.8851   0.01479   0.00804   0.0007   0.0492   1.0000
   8.250   0.9040   0.01537   0.00863   0.0023   0.0463   1.0000
   8.500   0.9250   0.01577   0.00908   0.0035   0.0439   1.0000
   8.750   0.9450   0.01628   0.00958   0.0048   0.0416   1.0000
   9.000   0.9632   0.01699   0.01032   0.0064   0.0395   1.0000
   9.250   0.9847   0.01743   0.01081   0.0074   0.0377   1.0000
   9.500   1.0054   0.01794   0.01135   0.0085   0.0360   1.0000
   9.750   1.0224   0.01882   0.01223   0.0100   0.0344   1.0000
  10.000   1.0417   0.01951   0.01299   0.0113   0.0333   1.0000
  10.250   1.0620   0.02009   0.01364   0.0124   0.0320   1.0000
  10.500   1.0817   0.02069   0.01428   0.0134   0.0308   1.0000
  10.750   1.0995   0.02144   0.01504   0.0147   0.0297   1.0000
  11.000   1.1128   0.02267   0.01631   0.0165   0.0287   1.0000
  11.250   1.1309   0.02336   0.01711   0.0177   0.0279   1.0000
  11.500   1.1474   0.02416   0.01801   0.0191   0.0271   1.0000
  11.750   1.1626   0.02500   0.01893   0.0206   0.0263   1.0000
  12.000   1.1753   0.02586   0.01984   0.0224   0.0257   1.0000
  12.250   1.1855   0.02684   0.02086   0.0245   0.0251   1.0000
  12.500   1.1912   0.02838   0.02244   0.0267   0.0245   1.0000
  12.750   1.1984   0.02980   0.02398   0.0286   0.0240   1.0000
  13.000   1.2072   0.03098   0.02530   0.0302   0.0235   1.0000
  13.250   1.2147   0.03236   0.02681   0.0315   0.0230   1.0000
  13.500   1.2208   0.03392   0.02849   0.0326   0.0226   1.0000
  13.750   1.2259   0.03568   0.03036   0.0335   0.0222   1.0000
  14.000   1.2302   0.03761   0.03239   0.0341   0.0218   1.0000
  14.250   1.2337   0.03973   0.03459   0.0343   0.0215   1.0000
  14.500   1.2360   0.04209   0.03703   0.0343   0.0212   1.0000
  14.750   1.2363   0.04481   0.03983   0.0341   0.0209   1.0000
  15.000   1.2327   0.04811   0.04324   0.0336   0.0206   1.0000
  15.250   1.2219   0.05247   0.04774   0.0329   0.0203   1.0000
  15.500   1.2159   0.05646   0.05191   0.0311   0.0202   1.0000
  15.750   1.2073   0.06100   0.05662   0.0289   0.0201   1.0000
  16.000   1.1964   0.06607   0.06187   0.0262   0.0200   1.0000
  16.250   1.1828   0.07171   0.06768   0.0232   0.0199   1.0000
  16.500   1.1669   0.07801   0.07415   0.0196   0.0198   1.0000
  16.750   1.1482   0.08501   0.08133   0.0156   0.0198   1.0000
  17.000   1.1265   0.09286   0.08936   0.0109   0.0197   1.0000
  17.250   1.1011   0.10176   0.09843   0.0056   0.0197   1.0000
  17.500   1.0705   0.11207   0.10894  -0.0006   0.0198   1.0000
  17.750   1.0302   0.12505   0.12212  -0.0085   0.0199   1.0000
  18.000   0.7725   0.21140   0.20887  -0.0516   0.0252   1.0000
